ZIP,COUNTYNAME
99663,Kenai Peninsula Borough
99664,Kenai Peninsula Borough
99669,Kenai Peninsula Borough
99672,Kenai Peninsula Borough
99682,Kenai Peninsula Borough
99901,Ketchikan Gateway Borough
99918,Ketchikan Gateway Borough
99928,Ketchikan Gateway Borough
99550,Kodiak Island Borough
99608,Kodiak Island Borough
99615,Kodiak Island Borough
99624,Kodiak Island Borough
99643,Kodiak Island Borough
99644,Kodiak Island Borough
99548,Lake and Peninsula Borough
99549,Lake and Peninsula Borough
99564,Lake and Peninsula Borough
99565,Lake and Peninsula Borough
99579,Lake and Peninsula Borough
99606,Lake and Peninsula Borough
99625,Lake and Peninsula Borough
99640,Lake and Peninsula Borough
99647,Lake and Peninsula Borough
99648,Lake and Peninsula Borough
99649,Lake and Peninsula Borough
99653,Lake and Peninsula Borough
99645,Matanuska-Susitna Borough
99652,Matanuska-Susitna Borough
99654,Matanuska-Susitna Borough
99667,Matanuska-Susitna Borough
99674,Matanuska-Susitna Borough
99676,Matanuska-Susitna Borough
99683,Matanuska-Susitna Borough
99688,Matanuska-Susitna Borough
99694,Matanuska-Susitna Borough
99659,Nome Census Area
99671,Nome Census Area
99684,Nome Census Area
99739,Nome Census Area
99742,Nome Census Area
99753,Nome Census Area
99762,Nome Census Area
99769,Nome Census Area
99771,Nome Census Area
99772,Nome Census Area
99778,Nome Census Area
99783,Nome Census Area
99784,Nome Census Area
99785,Nome Census Area
99721,North Slope Borough
99723,North Slope Borough
99734,North Slope Borough
99747,North Slope Borough
99759,North Slope Borough
99766,North Slope Borough
99782,North Slope Borough
99789,North Slope Borough
99791,North Slope Borough
99727,Northwest Arctic Borough
99736,Northwest Arctic Borough
99749,Northwest Arctic Borough
99750,Northwest Arctic Borough
99751,Northwest Arctic Borough
99752,Northwest Arctic Borough
99761,Northwest Arctic Borough
99763,Northwest Arctic Borough
99770,Northwest Arctic Borough
99773,Northwest Arctic Borough
99786,Northwest Arctic Borough
99835,Sitka City and Borough
99731,Southeast Fairbanks Census Area
99732,Southeast Fairbanks Census Area
99737,Southeast Fairbanks Census Area
99738,Southeast Fairbanks Census Area
99764,Southeast Fairbanks Census Area
99776,Southeast Fairbanks Census Area
99780,Southeast Fairbanks Census Area
99566,Valdez-Cordova Census Area
99573,Valdez-Cordova Census Area
99574,Valdez-Cordova Census Area
99586,Valdez-Cordova Census Area
99588,Valdez-Cordova Census Area
99677,Valdez-Cordova Census Area
99686,Valdez-Cordova Census Area
99693,Valdez-Cordova Census Area
99554,Wade Hampton Census Area
99563,Wade Hampton Census Area
99581,Wade Hampton Census Area
99585,Wade Hampton Census Area
99604,Wade Hampton Census Area
99620,Wade Hampton Census Area
99632,Wade Hampton Census Area
99650,Wade Hampton Census Area
99657,Wade Hampton Census Area
99658,Wade Hampton Census Area
99662,Wade Hampton Census Area
99666,Wade Hampton Census Area
99689,Yakutat City and Borough
99558,Yukon-Koyukuk Census Area
99590,Yukon-Koyukuk Census Area
99602,Yukon-Koyukuk Census Area
99627,Yukon-Koyukuk Census Area
99665,Yukon-Koyukuk Census Area
99675,Yukon-Koyukuk Census Area
99691,Yukon-Koyukuk Census Area
99704,Yukon-Koyukuk Census Area
99720,Yukon-Koyukuk Census Area
